Matrix,1thread,2thread,4thread,8thread
eris1176,8469.0,8343.0,6911.0,4617.0
std1_Jac3_db,205607.0,127720.0,74393.0,40947.0
std1_Jac3,502331.0,323250.0,185796.0,143049.0
lp_wood1p,18206.0,13173.0,11226.0,8304.0
jendrec1,33751.0,17173.0,11709.0,7936.0
lowThrust_5,107573.0,63391.0,37377.0,20940.0
hangGlider_4,78944.0,44808.0,26690.0,16546.0
brainpc2,114312.0,63601.0,45018.0,28723.0
hangGlider_3,47408.0,30236.0,16869.0,10706.0
lowThrust_7,115443.0,57543.0,39805.0,21600.0
lowThrust_11,102425.0,67460.0,41115.0,22875.0
lowThrust_3,44464.0,27332.0,17512.0,10591.0
lowThrust_6,111630.0,62335.0,37918.0,21619.0
lowThrust_12,119847.0,67321.0,41957.0,23815.0
hangGlider_5,80548.0,45830.0,27165.0,16816.0
Journals,4089.0,3369.0,4032.0,4143.0
bloweybl,95578.0,71395.0,31997.0,29161.0
heart1,508880.0,255031.0,136937.0,61826.0
TSOPF_FS_b9_c6,72723.0,44256.0,34514.0,23877.0
Sieber,10976.0,8860.0,6911.0,5016.0
case9,72761.0,44272.0,34494.0,23818.0
c-30,33277.0,19711.0,16162.0,14102.0
vsp_c-30_data_data,65496.0,33364.0,20253.0,15563.0
c-32,32335.0,19314.0,14348.0,12128.0
freeFlyingRobot_10,24702.0,15313.0,9210.0,7419.0
freeFlyingRobot_11,25050.0,16365.0,10201.0,8223.0
freeFlyingRobot_12,26182.0,17216.0,11422.0,7572.0
lowThrust_10,117428.0,67830.0,41088.0,23180.0
lowThrust_13,121348.0,67565.0,41505.0,23537.0
lowThrust_4,86595.0,50843.0,31559.0,18210.0
lowThrust_8,117945.0,63666.0,39279.0,22204.0
lowThrust_9,118636.0,64389.0,41585.0,22926.0
lp_fit2p,22655.0,13437.0,9296.0,7726.0
nd12k,12221000.0,6506880.0,3428100.0,1876000.0
std1_Jac2_db,211716.0,105797.0,70422.0,36143.0
std1_Jac2,433364.0,304511.0,156300.0,98809.0
