Matrix,Time(us)
GD96_a,3.0
g7jac020,22.0
cis-n4c6-b1,0.0
fpga_dcop_50,4.0
adder_dcop_50,6.0
adder_dcop_15,7.0
nemsemm2,71.0
worms20_10NN,163.0
fpga_dcop_11,4.0
oscil_dcop_13,1.0
ch7-8-b2,25.0
ulevimin,66.0
bfwa62,0.0
gre_216b,1.0
bibd_12_5,3.0
EX1,4.0
G39,12.0
G27,18.0
bfwa398,2.0
LFAT5000,52.0
G38,13.0
lpi_gran,12.0
jagmesh8,4.0
jan99jac120,144.0
oscil_dcop_18,1.0
lpi_qual,1.0
tumorAntiAngiogenesis_2,2.0
fpga_dcop_43,4.0
baxter,75.0
n4c5-b5,13.0
fpga_dcop_26,4.0
G53,6.0
adder_dcop_06,7.0
oscil_dcop_57,1.0
Kohonen,12.0
n2c6-b10,0.0
klein-b1,0.0
lp_pds_10,60.0
g7jac060sc,93.0
oscil_dcop_02,1.0
bcsstm38,16.0
Franz8,49.0
can_715,4.0
aircraft,10.0
c-49,97.0
lowThrust_12,110.0
dwt_878,4.0
rajat27,62.0
dwt_198,1.0
fs_680_2,2.0
N_pid,11.0
lp_bnl2,8.0
bcsstk01,0.0
graphics,64.0
ns3Da,699.0
fs_760_2,3.0
n3c5-b6,0.0
aa5,23.0
adder_dcop_20,7.0
G5,15.0
lp_sc105,0.0
rim,392.0
nopoly,38.0
ch4-4-b2,0.0
cage6,0.0
lp_sc50a,0.0
cavity02,3.0
rajat06,30.0
mod2,118.0
lp_standata,2.0
cryg2500,6.0
farm,0.0
fpga_dcop_18,4.0
M80PI_n,9.0
oscil_dcop_55,1.0
adder_dcop_34,6.0
n2c6-b9,2.0
oscil_dcop_36,1.0
cdde5,2.0
PGPgiantcompo,71.0
oscil_dcop_53,1.0
lhr11,94.0
jan99jac080,96.0
freeFlyingRobot_9,20.0
EPA,10.0
lnsp3937,13.0
olafu,379.0
gams30am,1.0
football,0.0
vsp_p0291_seymourl_iiasa,69.0
p0201,1.0
G43,9.0
photogrammetry2,18.0
orsirr_2,3.0
G1,15.0
S80PI_n,9.0
flower_7_1,1.0
nemeth26,467.0
hangGlider_4,72.0
M10PI_n1,1.0
bcsstm08,2.0
dwt_607,3.0
n4c5-b2,1.0
cavity17,57.0
Maragal_2,2.0
fe_sphere,48.0
fpga_dcop_47,4.0
juba40k,106.0
ch5-5-b2,1.0
Trec5,0.0
ex24,21.0
man_5976,91.0
dwt_918,4.0
lp_scsd6,2.0
adder_dcop_31,7.0
lp22,32.0
SiH4,70.0
n3c6-b7,24.0
n3c5-b3,1.0
ex10,24.0
cat_ears_4_4,76.0
ex32,6.0
mycielskian2,0.0
utm5940,37.0
mk11-b4b,24.0
rdb1250,4.0
lp_maros,6.0
tumorAntiAngiogenesis_8,3.0
GD97_c,1.0
cis-n4c6-b15,0.0
mhd4800a,44.0
fpga_dcop_16,4.0
kleemin,0.0
c-52,117.0
adder_dcop_14,6.0
lesmis,0.0
deter2,18.0
tols340,1.0
can_256,2.0
vsp_befref_fxm_2_4_air02,137.0
lp_wood1p,20.0
oscil_dcop_47,1.0
oscil_dcop_44,1.0
wm1,2.0
crashbasis,831.0
fv2,48.0
photogrammetry,6.0
2cubes_sphere,1172.0
email,6.0
bcsstm10,10.0
bibd_17_4b,5.0
ch5-5-b1,0.0
jpwh_991,3.0
aa03,25.0
abb313,1.0
TF14,16.0
dano3mip,38.0
g7jac010,10.0
YaleB_10NN,16.0
msc23052,470.0
cz1268,6.0
bibd_49_3,21.0
ex26,37.0
oscil_dcop_23,1.0
Chebyshev1,1.0
Goodwin_010,14.0
cis-n4c6-b13,39.0
pcb3000,31.0
grid1_dual,1.0
b1_ss,0.0
cq5,24.0
t2d_q9,46.0
adder_dcop_61,7.0
lpi_gosh,41.0
G58,31.0
Harvard500,3.0
relat6,5.0
dwt_492,2.0
fd15,28.0
