Matrix,Time(ns)
eris1176,6911.0
std1_Jac3_db,74393.0
std1_Jac3,185796.0
lp_wood1p,11226.0
jendrec1,11709.0
lowThrust_5,37377.0
hangGlider_4,26690.0
brainpc2,45018.0
hangGlider_3,16869.0
lowThrust_7,39805.0
lowThrust_11,41115.0
lowThrust_3,17512.0
lowThrust_6,37918.0
lowThrust_12,41957.0
hangGlider_5,27165.0
Journals,4032.0
bloweybl,31997.0
heart1,136937.0
TSOPF_FS_b9_c6,34514.0
Sieber,6911.0
case9,34494.0
c-30,16162.0
vsp_c-30_data_data,20253.0
c-32,14348.0
freeFlyingRobot_10,9210.0
freeFlyingRobot_11,10201.0
freeFlyingRobot_12,11422.0
lowThrust_10,41088.0
lowThrust_13,41505.0
lowThrust_4,31559.0
lowThrust_8,39279.0
lowThrust_9,41585.0
lp_fit2p,9296.0
nd12k,3428100.0
std1_Jac2_db,70422.0
std1_Jac2,156300.0
