Filename, Time(us)
GD96_a, 1.181
g7jac020, 23.806
cis-n4c6-b1, 0.221
fpga_dcop_50, 3.045
adder_dcop_50, 6.871
adder_dcop_15, 6.97
nemsemm2, 106.373
worms20_10NN, 195.289
fpga_dcop_11, 3.085
oscil_dcop_13, 0.841
ch7-8-b2, 16.856
ulevimin, 94.996
bfwa62, 0.251
gre_216b, 0.5
bibd_12_5, 4.567
EX1, 4.387
G39, 12.839
G27, 20.581
bfwa398, 1.923
LFAT5000, 81.345
G38, 12.849
lpi_gran, 10.617
jagmesh8, 4.497
jan99jac120, 137.351
oscil_dcop_18, 0.841
lpi_qual, 0.922
tumorAntiAngiogenesis_2, 1.572
fpga_dcop_43, 3.045
baxter, 60.342
n4c5-b5, 12.449
fpga_dcop_26, 3.045
G53, 6.46
adder_dcop_06, 7.452
oscil_dcop_57, 0.841
Kohonen, 9.965
n2c6-b10, 0.171
klein-b1, 0.05
lp_pds_10, 62.646
g7jac060sc, 109.858
oscil_dcop_02, 0.831
bcsstm38, 11.237
Franz8, 48.053
can_715, 3.936
aircraft, 9.685
c-49, 98.3
lowThrust_12, 125.292
dwt_878, 4.276
rajat27, 57.578
dwt_198, 0.862
fs_680_2, 1.292
N_pid, 6.48
lp_bnl2, 8.282
bcsstk01, 0.241
graphics, 56.467
ns3Da, 993.359
fs_760_2, 2.945
n3c5-b6, 0.42
aa5, 38.449
adder_dcop_20, 7.011
G5, 19.39
lp_sc105, 0.19
rim, 542.7
nopoly, 44.749
ch4-4-b2, 0.15
cage6, 0.4
lp_sc50a, 0.091
cavity02, 3.816
rajat06, 30.818
mod2, 106.523
lp_standata, 1.773
cryg2500, 5.949
farm, 0.04
fpga_dcop_18, 3.074
M80PI_n, 5.148
oscil_dcop_55, 0.841
adder_dcop_34, 6.85
n2c6-b9, 1.482
oscil_dcop_36, 0.841
cdde5, 2.283
PGPgiantcompo, 31.307
oscil_dcop_53, 0.841
lhr11, 130.74
jan99jac080, 90.628
freeFlyingRobot_9, 22.194
EPA, 7.632
lnsp3937, 12.188
olafu, 551.964
gams30am, 0.641
football, 0.08
vsp_p0291_seymourl_iiasa, 61.634
p0201, 1.051
G43, 10.055
photogrammetry2, 18.078
orsirr_2, 3.075
G1, 19.42
S80PI_n, 5.138
flower_7_1, 0.64
nemeth26, 909.802
hangGlider_4, 84.509
M10PI_n1, 0.681
bcsstm08, 1.483
dwt_607, 3.135
n4c5-b2, 0.671
cavity17, 71.118
Maragal_2, 2.424
fe_sphere, 47.082
fpga_dcop_47, 3.045
juba40k, 80.183
ch5-5-b2, 0.872
Trec5, 0.02
ex24, 24.648
man_5976, 118.001
dwt_918, 4.477
lp_scsd6, 2.194
adder_dcop_31, 6.841
lp22, 35.404
SiH4, 95.756
n3c6-b7, 24.588
n3c5-b3, 0.411
ex10, 29.936
cat_ears_4_4, 76.336
ex32, 6.751
mycielskian2, 0.02
utm5940, 43.346
mk11-b4b, 22.565
rdb1250, 3.506
lp_maros, 5.519
tumorAntiAngiogenesis_8, 2.774
GD97_c, 0.441
cis-n4c6-b15, 0.471
mhd4800a, 52.471
fpga_dcop_16, 3.075
kleemin, 0.04
c-52, 126.133
adder_dcop_14, 7.261
lesmis, 0.281
deter2, 17.717
tols340, 1.212
can_256, 1.723
vsp_befref_fxm_2_4_air02, 145.132
lp_wood1p, 48.204
oscil_dcop_47, 0.832
oscil_dcop_44, 0.841
wm1, 1.553
crashbasis, 841.887
fv2, 49.065
photogrammetry, 5.759
2cubes_sphere, 1191.12
email, 6.12
bcsstm10, 12.138
bibd_17_4b, 7.933
ch5-5-b1, 0.21
jpwh_991, 3.516
aa03, 41.433
abb313, 0.802
TF14, 16.134
dano3mip, 44.298
g7jac010, 10.216
YaleB_10NN, 17.868
msc23052, 630.675
cz1268, 6.57
bibd_49_3, 27.923
ex26, 49.495
oscil_dcop_23, 0.841
Chebyshev1, 1.312
Goodwin_010, 16.855
cis-n4c6-b13, 42.114
pcb3000, 36.035
grid1_dual, 0.431
b1_ss, 0.03
cq5, 30.146
t2d_q9, 42.044
adder_dcop_61, 6.85
lpi_gosh, 54.223
G58, 32.33
Harvard500, 1.573
relat6, 4.267
dwt_492, 2.053
fd15, 21.312
lp_tuff, 2.594
adder_dcop_51, 6.86
orbitRaising_2, 3.636
Erdos972, 9.385
ch6-6-b4, 10.326
oscil_dcop_34, 0.832
copter1, 114.676
air05, 31.628
adder_dcop_26, 7.551
add32, 12.159
Vehicle_10NN, 5.638
ted_B_unscaled, 81.335
lp_qap8, 3.506
n2c6-b7, 15.254
lhr71, 815.597
boyd1, 1073.73
fpga_dcop_29, 3.045
cavity08, 16.865
hangGlider_3, 52.21
fpga_dcop_41, 3.045
Maragal_1, 0.13
Franz10, 46.682
lp_scagr25, 0.841
gams30a, 0.641
adder_dcop_54, 6.851
can_445, 2.273
matrix_9, 1023.39
c-18, 9.565
bcsstk28, 116.178
G48, 5.749
ex12, 44.247
cond-mat-2003, 237.764
rdb968, 2.744
qh1484, 3.175
lp_bandm, 1.392
nnc666, 2.073
mark3jac040, 57.528
mult_dcop_03, 206.016
G63, 45.43
ash958, 0.951
ch8-8-b1, 1.592
poli4, 48.595
n3c4-b1, 0.03
flowmeter0, 46.582
dynamicSoaringProblem_3, 17.617
G49, 5.749
cavity24, 70.789
nos3, 8.493
lp_agg2, 2.624
as-735, 20.661
aug3dcqp, 81.815
lp_ship08l, 6.951
rail_20209, 88.536
coater1, 10.145
cavity15, 39.21
n3c6-b6, 21.513
nasa2146, 37.647
n4c6-b15, 0.471
adder_dcop_33, 7.021
delaunay_n11, 7.251
minnesota, 4.346
bcsstk11, 18.589
Trec6, 0.04
GD95_c, 0.17
Muu, 91.039
G8, 19.39
adder_dcop_39, 6.851
sstmodel, 15.925
usps_norm_5NN, 47.322
rajat10, 86.111
dwt_209, 1.112
west0067, 0.161
spaceStation_11, 10.196
orsirr_1, 3.546
G7, 19.45
fpga_trans_02, 3.836
Dubcova2, 589.302
GD98_a, 0.05
aug2d, 37.868
lshp_406, 1.623
G44, 10.306
nnc261, 0.791
dwt_512, 2.313
delaunay_n13, 28.924
cavity21, 70.978
lpi_itest2, 0.03
oscil_dcop_33, 0.841
lp_d6cube, 24.468
shock-9, 74.804
can_634, 4.297
bcsstm04, 0.19
zenios, 16.606
mycielskian11, 79.292
skirt, 112.502
bauru5727, 80.714
c-44, 52.0
lpi_greenbea, 17.216
freeFlyingRobot_6, 15.263
fxm2-6, 7.0
ch7-7-b5, 101.476
delaunay_n14, 91.209
mesh1e1, 0.21
lowThrust_7, 117.36
lp_cre_a, 10.056
Chebyshev3, 21.492
adder_dcop_43, 6.871
GD97_a, 0.171
mhd3200a, 34.983
Hamrle2, 10.676
model9, 30.176
Trec9, 1.132
nemsafm, 1.392
lowThrust_1, 3.536
spaceStation_2, 3.085
young3c, 2.043
relat7, 41.844
rosen1, 13.511
air03, 63.477
d_ss, 0.09
Ill_Stokes, 103.638
relat3, 0.03
bibd_11_5, 2.544
lpl3, 57.157
sparsine, 851.362
wang3, 85.06
poli_large, 20.541
oscil_dcop_19, 0.841
adder_dcop_38, 6.871
