matrix,nnz,total_inspection_time_s,gd_iterations,total_execution_time_gd_s,jacobi_iterations,total_execution_time_jacobi_s
eris1176,18552,0.5,118,0.000778,4290,0.023829
c-30,65693,29.76,64738,1.255479,4123,0.081206
c-45,174452,523.48,49579,2.995319,4179,0.278060
c-57,405197,10113.32,88963,16.497885,4178,0.802308
heart2,682797,5.85,14,0.003123,4249,0.948333
heart3,682797,5.9,14,0.003107,4249,0.944372
bundle1,770901,269.78,191,0.050127,4174,1.099089
TSC_OPF_300,820804,171.52,98,0.026120,3898,1.036920
heart1,1387773,15.86,15,0.006990,4222,1.965084
TSC_OPF_1047,2016902,133.07,231,0.148002,3571,2.283088
net100,2033200,14407.71,113,0.079208,4325,3.028159
gupta1,2164210,8732.15,1269,1.096704,4214,3.672098
exdata_1,2269501,43.51,36,0.018062,3906,1.952060
net125,2577200,14402.91,126,0.113741,4312,3.990099
net150,3121200,14402.29,139,0.169005,4307,5.183359
