matrix,nnz,total_inspection_time_s,gd_iterations,total_execution_time_gd_s,gd_x_inspection,jacobi_iterations,total_execution_time_jacobi_s,jacobi_x_inspection,provenance
eris1176,18552,0.5,253694,1.388,2.75,106539,0.559,1.11,measured
c-30,65693,29.76,3865778,74.74,2.51,1737843,35.153,1.18,measured
c-45,174452,523.48,19446421,1224.2,2.34,9047666,566.5,1.08,measured
c-57,403373,10113.32,139359842,25843.8,2.56,62831352,12065.6,1.19,projected +/-4%
heart2,680483,5.85,61680,13.719,2.34,30167,6.733,1.15,measured
heart3,680483,5.9,62361,13.828,2.35,30504,6.79,1.15,measured
bundle1,770811,269.78,2595974,678.5,2.52,1178233,311.3,1.15,measured
TSC_OPF_300,820804,171.52,1630397,430.9,2.51,741516,197.5,1.15,measured
heart1,1385459,15.86,80097,37.309,2.35,39194,18.24,1.15,measured
TSC_OPF_1047,2016902,133.07,524059,333.9,2.51,239358,153.0,1.15,measured
net100,2033200,14407.71,56274120,39445.4,2.74,24426224,17102.1,1.19,projected +/-4%
gupta1,2164210,8732.15,37332377,32263.6,3.69,11944908,10408.8,1.19,projected +/-4%
exdata_1,2269501,43.51,221075,110.2,2.53,100130,50.152,1.15,measured
net125,2577200,14402.91,42576847,38434.2,2.67,18480815,17101.2,1.19,projected +/-4%
net150,3121200,14402.29,32753922,39824.3,2.77,14217098,17109.9,1.19,projected +/-4%
