Matrix,Interp_VDIA,Interp_VBR,Interp_CSR,Interp_Total,StagedOOL_VDIA,StagedOOL_VBR,StagedOOL_CSR,StagedOOL_Total,StagedInline_VDIA,StagedInline_VBR,StagedInline_CSR,StagedInline_Total,Speedup_Interp_VDIA,Speedup_Interp_VBR,Speedup_Interp_CSR,Speedup_Interp_Total,Speedup_Inline_VDIA,Speedup_Inline_VBR,Speedup_Inline_CSR,Speedup_Inline_Total,Speedup_InterpVsInline_VDIA,Speedup_InterpVsInline_VBR,Speedup_InterpVsInline_CSR,Speedup_InterpVsInline_Total,Values_Match
TSC_OPF_1047,31875464.75,6454142.15,96980030.7,135309637.6,47502768.8,8124167.75,210541571.45,266168508.0,32729722.7,8289617.75,169980855.2,211000195.65,0.671,0.7944,0.4606,0.5084,0.689,1.0204,0.8074,0.7927,0.9739,0.7786,0.5705,0.6413,1
bcsstk28,8194204.05,256.05,12415450.3,20609910.4,7829885.5,0.0,12600574.05,20430459.55,8103718.75,0.0,13019284.75,21123003.5,1.0465,0.0,0.9853,1.0088,1.035,0.0,1.0332,1.0339,1.0112,0.0,0.9536,0.9757,1
bcsstk32,78600309.65,168808.05,116371966.85,195141084.55,77635648.95,173826.8,117672203.35,195481679.1,79153902.25,174352.8,120098293.65,199426548.7,1.0124,0.9711,0.989,0.9983,1.0196,1.003,1.0206,1.0202,0.993,0.9682,0.969,0.9785,1
cegb2802,19576059.65,112643.95,8554843.9,28243547.5,19242039.2,113253.1,8591986.55,27947278.85,19503805.3,113615.0,8710956.7,28328377.0,1.0174,0.9946,0.9957,1.0106,1.0136,1.0032,1.0138,1.0136,1.0037,0.9915,0.9821,0.997,1
cegb2919,11507614.55,214708.25,17680516.7,29402839.5,11520432.5,213800.65,18277518.55,30011751.7,10841001.45,195456.2,17105192.8,28141650.45,0.9989,1.0042,0.9673,0.9797,0.941,0.9142,0.9359,0.9377,1.0615,1.0985,1.0336,1.0448,1
gupta3,85582625.7,3861240.5,1882863565.05,1972307431.25,83731036.65,3366578.9,1872112842.7,1959210458.25,85810533.0,3441739.85,1906365065.0,1995617337.85,1.0221,1.1469,1.0057,1.0067,1.0248,1.0223,1.0183,1.0186,0.9973,1.1219,0.9877,0.9883,1
heart1,88983896.45,3414306.0,76552465.85,168950668.3,90215546.7,3429173.15,76214716.5,169859436.35,88455002.15,3446390.0,79571082.4,171472474.55,0.9863,0.9957,1.0044,0.9946,0.9805,1.005,1.044,1.0095,1.006,0.9907,0.9621,0.9853,1
heart2,56374750.05,2667369.9,22351935.15,81394055.1,55378517.35,2709941.95,22694748.95,80783208.25,57872496.0,2615046.7,22746180.2,83233722.9,1.018,0.9843,0.9849,1.0076,1.045,0.965,1.0023,1.0303,0.9741,1.02,0.9827,0.9779,1
heart3,55150625.25,2642810.7,22089760.2,79883196.15,55780328.15,2749292.55,22664292.05,81193912.75,55320040.3,2688039.85,22413097.4,80421177.55,0.9887,0.9613,0.9747,0.9839,0.9917,0.9777,0.9889,0.9905,0.9969,0.9832,0.9856,0.9933,1
msc10848,18356106.45,338072.25,92903781.5,111597960.2,18659744.5,333866.65,95987632.95,114981244.1,18654211.65,344864.65,94133012.25,113132088.55,0.9837,1.0126,0.9679,0.9706,0.9997,1.0329,0.9807,0.9839,0.984,0.9803,0.9869,0.9864,1
nd3k,68651616.9,549573.0,213702181.75,282903371.65,67304640.95,491361.25,213754048.8,281550051.0,67986392.4,509832.9,236290640.4,304786865.7,1.02,1.1185,0.9998,1.0048,1.0101,1.0376,1.1054,1.0825,1.0098,1.0779,0.9044,0.9282,1
nemeth19,77428419.95,54786.05,1725181.1,79208387.1,78528386.6,53330.5,1772306.45,80354023.55,75940016.35,52695.4,1709896.3,77702608.05,0.986,1.0273,0.9734,0.9857,0.967,0.9881,0.9648,0.967,1.0196,1.0397,1.0089,1.0194,1
nemeth20,593979.05,47888.7,73513983.1,74155850.85,608969.7,50041.7,73346718.65,74005730.05,605811.55,49487.8,75720903.85,76376203.2,0.9754,0.957,1.0023,1.002,0.9948,0.9889,1.0324,1.032,0.9805,0.9677,0.9709,0.9709,1
nemeth21,43574434.35,267.65,56776406.6,100351108.6,42632535.1,0.0,58252348.85,100884883.95,41623291.6,0.0,57204031.2,98827322.8,1.0221,0.0,0.9747,0.9947,0.9763,0.0,0.982,0.9796,1.0469,0.0,0.9925,1.0154,1
nemeth22,1011108.0,77408.85,105477087.05,106565603.9,1002600.15,76650.6,99420824.85,100500075.6,1047857.65,80666.3,103600712.95,104729236.9,1.0085,1.0099,1.0609,1.0604,1.0451,1.0524,1.042,1.0421,0.9649,0.9596,1.0181,1.0175,1
nemeth23,944696.55,81367.75,120622238.6,121648302.9,929422.4,81705.3,114936869.25,115947996.95,909985.15,78220.2,112200795.75,113189001.1,1.0164,0.9959,1.0495,1.0492,0.9791,0.9573,0.9762,0.9762,1.0381,1.0402,1.0751,1.0747,1
