Matrix,Interp_VDIA,Interp_VBR,Interp_CSR,Interp_Total,StagedOOL_VDIA,StagedOOL_VBR,StagedOOL_CSR,StagedOOL_Total,StagedInline_VDIA,StagedInline_VBR,StagedInline_CSR,StagedInline_Total,Speedup_Interp_VDIA,Speedup_Interp_VBR,Speedup_Interp_CSR,Speedup_Interp_Total,Speedup_Inline_VDIA,Speedup_Inline_VBR,Speedup_Inline_CSR,Speedup_Inline_Total,Speedup_InterpVsInline_VDIA,Speedup_InterpVsInline_VBR,Speedup_InterpVsInline_CSR,Speedup_InterpVsInline_Total,Values_Match
TSC_OPF_1047,32385909.7,6779523.55,90054532.85,129219966.1,32359692.6,7892992.4,112900208.75,153152893.75,31793989.8,6797576.2,102729112.0,141320678.0,1.0008,0.8589,0.7976,0.8437,0.9825,0.8612,0.9099,0.9227,1.0186,0.9973,0.8766,0.9144,1
bcsstk28,7706971.25,136.95,10329629.0,18036737.2,7784506.75,0.0,11247326.5,19031833.25,7481149.1,0.0,10889856.2,18371005.3,0.99,0.0,0.9184,0.9477,0.961,0.0,0.9682,0.9653,1.0302,0.0,0.9486,0.9818,1
bcsstk32,78340614.15,172195.95,137138434.7,215651244.8,78037128.5,175042.3,129174364.35,207386535.15,77422385.35,168723.8,127577146.85,205168256.0,1.0039,0.9837,1.0617,1.0399,0.9921,0.9639,0.9876,0.9893,1.0119,1.0206,1.0749,1.0511,1
cegb2802,19584976.25,108625.25,7922937.5,27616539.0,19963052.65,111284.95,9011863.7,29086201.3,19746269.6,113058.2,8970186.5,28829514.3,0.9811,0.9761,0.8792,0.9495,0.9891,1.0159,0.9954,0.9912,0.9918,0.9608,0.8833,0.9579,1
cegb2919,11771801.15,207044.45,16396800.0,28375645.6,11017951.7,197422.25,17629729.4,28845103.35,10818035.65,194438.9,17870300.15,28882774.7,1.0684,1.0487,0.9301,0.9837,0.9819,0.9849,1.0136,1.0013,1.0882,1.0648,0.9175,0.9824,1
gupta3,84903176.75,3798850.65,882608341.8,971310369.2,83840490.3,3283669.6,923182198.3,1010306358.2,85040745.65,3364035.9,910598297.7,999003079.25,1.0127,1.1569,0.9561,0.9614,1.0143,1.0245,0.9864,0.9888,0.9984,1.1293,0.9693,0.9723,1
heart1,98015310.2,3369427.4,65650229.75,167034967.35,89592770.4,3350775.2,67223365.25,160166910.85,90029748.7,3280503.9,64751888.8,158062141.4,1.094,1.0056,0.9766,1.0429,1.0049,0.979,0.9632,0.9869,1.0887,1.0271,1.0139,1.0568,1
heart2,56400037.6,2645460.75,19526601.8,78572100.15,55761217.85,2658091.5,21516129.5,79935438.85,55623855.05,2716401.1,22134455.7,80474711.85,1.0115,0.9952,0.9075,0.9829,0.9975,1.0219,1.0287,1.0067,1.014,0.9739,0.8822,0.9764,1
heart3,56737822.65,2685684.0,19898724.25,79322230.9,58594962.45,2769244.1,22757630.55,84121837.1,58140740.1,2641450.0,21986220.55,82768410.65,0.9683,0.9698,0.8744,0.9429,0.9922,0.9539,0.9661,0.9839,0.9759,1.0167,0.9051,0.9584,1
msc10848,18908366.05,343623.1,87416671.5,106668660.65,18109165.25,367971.65,93328067.25,111805204.15,18023347.1,329410.3,93552867.4,111905624.8,1.0441,0.9338,0.9367,0.9541,0.9953,0.8952,1.0024,1.0009,1.0491,1.0431,0.9344,0.9532,1
nd3k,68623880.65,549968.85,198649670.6,267823520.1,67209691.75,479842.35,225600059.5,293289593.6,66884707.5,494313.2,219171547.0,286550567.7,1.021,1.1461,0.8805,0.9132,0.9952,1.0302,0.9715,0.977,1.026,1.1126,0.9064,0.9346,1
nemeth19,77409698.65,52938.85,96284.45,77558921.95,74770188.4,52813.5,99644.05,74922645.95,76582198.6,53136.95,104891.4,76740226.95,1.0353,1.0024,0.9663,1.0352,1.0242,1.0061,1.0527,1.0243,1.0108,0.9963,0.9179,1.0107,1
nemeth20,633035.25,46563.75,68565827.15,69245426.15,622975.7,50392.55,76754807.6,77428175.85,619129.85,46361.0,77206423.75,77871914.6,1.0161,0.924,0.8933,0.8943,0.9938,0.92,1.0059,1.0057,1.0225,1.0044,0.8881,0.8892,1
