Matrix,Interp_VDIA,Interp_VBR,Interp_CSR,Interp_Total,StagedOOL_VDIA,StagedOOL_VBR,StagedOOL_CSR,StagedOOL_Total,StagedInline_VDIA,StagedInline_VBR,StagedInline_CSR,StagedInline_Total,Speedup_Interp_VDIA,Speedup_Interp_VBR,Speedup_Interp_CSR,Speedup_Interp_Total,Speedup_Inline_VDIA,Speedup_Inline_VBR,Speedup_Inline_CSR,Speedup_Inline_Total,Speedup_InterpVsInline_VDIA,Speedup_InterpVsInline_VBR,Speedup_InterpVsInline_CSR,Speedup_InterpVsInline_Total,Values_Match
TSC_OPF_1047,118070.06,114703.36,458095.59,690869.0,122252.47,112096.96,450678.7,685028.12,137182.99,117480.62,472588.22,727251.83,0.9658,1.0233,1.0165,1.0085,1.1221,1.048,1.0486,1.0616,0.8607,0.9764,0.9693,0.95,1
bcsstk28,37672.73,85.23,58331.68,96089.64,38711.56,0.0,57853.54,96565.1,39025.33,0.0,57970.58,96995.91,0.9732,0.0,1.0083,0.9951,1.0081,0.0,1.002,1.0045,0.9653,0.0,1.0062,0.9907,1
bcsstk32,466855.74,2842.0,575359.49,1045057.23,472608.39,2869.02,568853.53,1044330.94,504104.34,2949.57,593545.0,1100598.91,0.9878,0.9906,1.0114,1.0007,1.0666,1.0281,1.0434,1.0539,0.9261,0.9635,0.9694,0.9495,1
cegb2802,92083.66,2172.76,45022.9,139279.31,87450.34,1998.08,42607.69,132056.11,93604.4,2173.16,45618.96,141396.51,1.053,1.0874,1.0567,1.0547,1.0704,1.0876,1.0707,1.0707,0.9838,0.9998,0.9869,0.985,1
cegb2919,69131.7,3963.02,89875.43,162970.16,64972.79,3833.53,88375.08,157181.4,69268.72,3989.89,93089.93,166348.54,1.064,1.0338,1.017,1.0368,1.0661,1.0408,1.0534,1.0583,0.998,0.9933,0.9655,0.9797,1
gupta3,713142.41,21763.21,6987139.66,7722045.28,620621.48,8702.84,6835382.82,7464707.14,645096.22,9472.12,6860066.44,7514634.79,1.1491,2.5007,1.0222,1.0345,1.0394,1.0884,1.0036,1.0067,1.1055,2.2976,1.0185,1.0276,1
heart1,271541.69,64287.77,266877.97,602707.42,285082.81,61499.86,278161.18,624743.84,289448.11,62527.99,280356.83,632332.93,0.9525,1.0453,0.9594,0.9647,1.0153,1.0167,1.0079,1.0121,0.9381,1.0281,0.9519,0.9531,1
heart2,199587.12,54449.52,100758.64,354795.29,194785.63,49890.3,96980.37,341656.3,200724.53,51016.67,100321.74,352062.94,1.0247,1.0914,1.039,1.0385,1.0305,1.0226,1.0345,1.0305,0.9943,1.0673,1.0044,1.0078,1
heart3,200823.98,56597.52,101319.67,358741.17,190283.1,49223.77,96047.46,335554.32,202930.92,51218.19,100489.06,354638.17,1.0554,1.1498,1.0549,1.0691,1.0665,1.0405,1.0462,1.0569,0.9896,1.105,1.0083,1.0116,1
msc10848,102992.88,8416.5,399150.14,510559.52,101481.91,5134.26,389575.06,496191.22,100175.86,5112.82,382132.2,487420.88,1.0149,1.6393,1.0246,1.029,0.9871,0.9958,0.9809,0.9823,1.0281,1.6462,1.0445,1.0475,1
