Matrix,Interp_VDIA,Interp_VBR,Interp_CSR,Interp_Total,StagedOOL_VDIA,StagedOOL_VBR,StagedOOL_CSR,StagedOOL_Total,StagedInline_VDIA,StagedInline_VBR,StagedInline_CSR,StagedInline_Total,Speedup_Interp_VDIA,Speedup_Interp_VBR,Speedup_Interp_CSR,Speedup_Interp_Total,Speedup_Inline_VDIA,Speedup_Inline_VBR,Speedup_Inline_CSR,Speedup_Inline_Total,Speedup_InterpVsInline_VDIA,Speedup_InterpVsInline_VBR,Speedup_InterpVsInline_CSR,Speedup_InterpVsInline_Total,Values_Match
TSC_OPF_1047,118499.8,109770.59,1127219.5,1355489.89,114933.64,107399.04,433946.93,656279.62,115058.6,107158.41,434862.77,657079.78,1.031,1.0221,2.5976,2.0654,1.0011,0.9978,1.0021,1.0012,1.0299,1.0244,2.5921,2.0629,1
bcsstk28,37213.98,62.96,92932.89,130209.82,38806.19,0.0,58200.37,97006.56,38643.67,0.0,57671.29,96314.96,0.959,0.0,1.5968,1.3423,0.9958,0.0,0.9909,0.9929,0.963,0.0,1.6114,1.3519,1
bcsstk32,433385.64,2497.86,790645.61,1226529.11,449177.31,2774.79,600076.42,1052028.52,452039.46,2587.94,607206.47,1061833.87,0.9648,0.9002,1.3176,1.1659,1.0064,0.9327,1.0119,1.0093,0.9587,0.9652,1.3021,1.1551,1
cegb2802,87044.72,1983.66,73592.22,162620.6,92887.47,2118.17,43746.97,138752.6,88523.48,1975.57,41009.11,131508.16,0.9371,0.9365,1.6822,1.172,0.953,0.9327,0.9374,0.9478,0.9833,1.0041,1.7945,1.2366,1
cegb2919,64871.68,3704.04,176970.94,245546.67,70758.74,4055.89,93182.88,167997.51,59216.04,3537.29,81336.19,144089.52,0.9168,0.9133,1.8992,1.4616,0.8369,0.8721,0.8729,0.8577,1.0955,1.0471,2.1758,1.7041,1
gupta3,682135.29,20853.34,9039744.88,9742733.51,718166.69,15243.99,6723899.84,7457310.52,684384.52,12645.06,7060047.99,7757077.57,0.9498,1.368,1.3444,1.3065,0.953,0.8295,1.05,1.0402,0.9967,1.6491,1.2804,1.256,1
heart1,276844.84,60646.83,671598.32,1009090.0,264631.83,59133.99,266737.71,590503.53,278424.62,60981.6,276859.24,616265.47,1.0462,1.0256,2.5178,1.7089,1.0521,1.0312,1.0379,1.0436,0.9943,0.9945,2.4258,1.6374,1
heart2,183186.88,48532.36,195071.31,426790.54,186016.96,48535.97,95794.0,330346.92,185392.02,48554.26,95565.08,329511.36,0.9848,0.9999,2.0364,1.2919,0.9966,1.0004,0.9976,0.9975,0.9881,0.9995,2.0412,1.2952,1
heart3,186526.49,48507.36,194353.67,429387.51,187277.43,48597.9,95852.53,331727.87,197201.78,50319.89,99825.39,347347.06,0.996,0.9981,2.0276,1.2944,1.053,1.0354,1.0414,1.0471,0.9459,0.964,1.9469,1.2362,1
msc10848,92063.62,4714.74,700901.9,797680.27,94809.39,4774.07,377271.16,476854.61,95432.98,4779.12,377207.63,477419.73,0.971,0.9876,1.8578,1.6728,1.0066,1.0011,0.9998,1.0012,0.9647,0.9865,1.8581,1.6708,1
nd3k,303482.46,8895.78,2288632.38,2601010.61,314656.07,8746.4,1076568.1,1399970.57,311099.87,8869.52,1067714.23,1387683.62,0.9645,1.0171,2.1259,1.8579,0.9887,1.0141,0.9918,0.9912,0.9755,1.003,2.1435,1.8744,1
