Matrix,1thread,2thread,4thread,8thread
eris1176,7585.8625,6447.81875,7120.5375,6287.2875
std1_Jac3,524360.8875,344820.54375,183193.50625,125016.83125
lp_wood1p,18055.38888888889,13565.93125,10283.24375,8634.86875
jendrec1,25481.61875,14628.25625,10506.875,8284.3625
lowThrust_5,81021.9,39361.26875,25200.38125,15764.15
hangGlider_4,65779.50625,31381.25,19688.26875,13646.6125
brainpc2,101805.9625,55905.99375,35759.375,26076.01875
hangGlider_3,41964.4375,23081.475308641977,13951.728395061727,10564.15
lowThrust_7,89273.1625,41991.74375,27028.41875,16605.84375
lowThrust_11,92760.00625,45629.11875,27950.1625,17311.66875
lowThrust_3,32528.4,17996.9625,12820.3625,9068.51875
lowThrust_6,87482.6125,40391.05625,26049.14375,16036.45625
lowThrust_12,95080.30625,45101.95625,28627.975,16982.375
hangGlider_5,68022.125,33713.16875,20100.96875,14397.7
Journals,3669.04375,2930.35,4467.4,4567.26875
bloweybl,92249.9375,59818.0875,30679.09375,17725.54375
heart1,484030.44375,255130.7875,129639.35,66272.0625
TSOPF_FS_b9_c6,65137.0625,33350.55,25336.2125,19447.2
Sieber,8977.775,6660.4375,6786.975,6072.925
case9,67727.33125,33835.24375,25631.18125,19236.2625
c-30,27996.0375,15781.66875,13581.5625,12955.79375
vsp_c-30_data_data,54966.44375,27551.175,17094.29375,13317.49375
c-32,27549.15,16165.15625,13012.70625,10887.18125
freeFlyingRobot_10,20327.15625,12176.66875,10081.3625,7756.23125
freeFlyingRobot_11,21025.73125,12757.2625,10350.6,7816.00625
freeFlyingRobot_12,21725.5,13144.86875,10484.4,7905.03125
lowThrust_10,91484.0875,44127.075,27857.413580246917,16732.475
lowThrust_13,93304.675,44670.20625,27436.15,16990.425
lowThrust_4,65522.4125,33651.4875,21305.65625,13830.69375
lowThrust_8,89074.96875,42859.94375,26621.625,16883.84375
lowThrust_9,89643.85,43624.08125,27211.6625,16939.94375
lp_fit2p,17970.2125,12090.6125,8882.8875,7679.725
nd12k,11767404.76875,6444165.1375,3442931.85625,1860525.36875
std1_Jac2,455441.66875,298874.71875,158595.625,102258.5375
