Matrix,Time(ns)
eris1176,6287.2875
std1_Jac3,125016.83125
lp_wood1p,8634.86875
jendrec1,8284.3625
lowThrust_5,15764.15
hangGlider_4,13646.6125
brainpc2,26076.01875
hangGlider_3,10564.15
lowThrust_7,16605.84375
lowThrust_11,17311.66875
lowThrust_3,9068.51875
lowThrust_6,16036.45625
lowThrust_12,16982.375
hangGlider_5,14397.7
Journals,4567.26875
bloweybl,17725.54375
heart1,66272.0625
TSOPF_FS_b9_c6,19447.2
Sieber,6072.925
case9,19236.2625
c-30,12955.79375
vsp_c-30_data_data,13317.49375
c-32,10887.18125
freeFlyingRobot_10,7756.23125
freeFlyingRobot_11,7816.00625
freeFlyingRobot_12,7905.03125
lowThrust_10,16732.475
lowThrust_13,16990.425
lowThrust_4,13830.69375
lowThrust_8,16883.84375
lowThrust_9,16939.94375
lp_fit2p,7679.725
nd12k,1860525.36875
std1_Jac2,102258.5375
