Filename,SABLE(ns)
eris1176,7827.68125
std1_Jac3,185749.9875
lp_wood1p,11653.19375
jendrec1,11842.64375
lowThrust_5,28934.83125
hangGlider_4,23052.40625
brainpc2,38078.76875
hangGlider_3,17123.63125
lowThrust_7,30721.075
lowThrust_11,32349.95
lowThrust_3,15447.0
lowThrust_6,29942.98125
lowThrust_12,32419.125
hangGlider_5,23547.7875
Journals,2607.34375
bloweybl,40218.91875
heart1,134038.75625
TSOPF_FS_b9_c6,28304.9125
Sieber,8870.525
case9,27702.05
c-30,15412.825
c-32,13631.60625
freeFlyingRobot_10,12477.9
freeFlyingRobot_11,12776.4375
freeFlyingRobot_12,12714.9125
lowThrust_10,32137.1875
lowThrust_13,32416.6375
lowThrust_4,22662.76875
lowThrust_8,30900.29375
lowThrust_9,31922.8875
lp_fit2p,12961.03125
nd12k,3359587.1375
std1_Jac2,159439.28125
vsp_c-30_data_data,18422.71875
