Matrix,nnz,dense_nnz_perc,SABLE(MKL) speedup over MKL,SABLE(spv8) speedup over spv8,SABLE(naive) speedup over naive,Best baseline,Best SABLE,Best SABLE speedup over best baseline
eris1176,18552,56.21,1.11,1.22,1.18,spv8,spv8,1.22
lp_fit2p,50284,5.97,1.02,1.0,0.92,spv8,spv8,1.0
c-30,65693,41.91,1.08,1.1,1.16,spv8,spv8,1.1
lp_wood1p,70216,3.64,1.0,1.0,1.01,naive,naive,1.01
lowThrust_3,80645,13.61,0.99,1.06,1.14,spv8,spv8,1.06
c-40,81501,6.62,0.99,1.01,0.97,spv8,spv8,1.01
bcsstk13,83883,1.56,0.98,0.99,0.92,MKL,MKL,0.98
jendrec1,89608,88.09,0.93,1.36,1.06,MKL,naive,0.97
orani678,90158,43.35,1.12,1.08,1.11,spv8,naive,1.11
hangGlider_3,92703,8.61,0.96,1.02,1.0,spv8,spv8,1.02
c-42,110285,7.43,1.01,1.04,0.91,spv8,spv8,1.04
bloweybl,120000,16.67,1.05,1.07,0.99,spv8,spv8,1.07
c-43,123675,7.87,1.01,1.04,0.96,spv8,spv8,1.04
vsp_c-30_data_data,124368,22.14,1.03,1.11,1.06,spv8,spv8,1.11
lp_fit2d,129042,8.14,1.03,1.01,1.04,naive,naive,1.04
c-39,136811,3.34,0.99,0.99,0.98,MKL,MKL,0.99
lp_osa_07,144812,12.16,1.01,0.96,1.01,naive,naive,1.01
TSOPF_FS_b9_c6,147972,7.31,0.97,1.03,1.02,naive,naive,1.02
case9,147972,7.31,0.98,1.03,1.02,naive,naive,1.02
hangGlider_4,149532,8.09,0.99,1.02,0.99,MKL,spv8,1.01
hangGlider_5,155246,8.02,0.99,1.04,1.01,MKL,MKL,0.99
lowThrust_4,160947,13.1,1.01,1.06,0.99,MKL,MKL,1.01
c-45,174452,25.8,1.03,1.12,0.99,naive,spv8,1.07
brainpc2,179395,30.77,0.94,1.12,1.05,naive,spv8,1.07
lowThrust_5,198369,12.75,1.03,1.03,1.01,MKL,MKL,1.03
lowThrust_6,207349,12.69,1.04,1.03,0.98,MKL,MKL,1.04
lowThrust_7,211561,12.77,1.03,1.07,0.99,MKL,MKL,1.03
lowThrust_8,216445,12.72,1.04,1.05,1.01,MKL,MKL,1.04
bcsstk28,219024,1.35,1.01,0.99,0.99,MKL,MKL,1.01
lowThrust_9,219589,12.78,1.03,1.03,0.98,MKL,MKL,1.03
lowThrust_10,222005,12.79,1.03,1.03,1.01,MKL,MKL,1.03
lowThrust_11,223801,12.76,1.03,1.03,0.99,MKL,MKL,1.03
lowThrust_12,224593,12.78,1.03,1.04,0.99,MKL,MKL,1.03
lowThrust_13,224897,12.77,1.03,1.05,0.98,MKL,MKL,1.03
lp_osa_14,317097,12.09,1.01,1.08,1.01,MKL,MKL,1.01
c-53,372213,1.87,0.99,1.01,0.9,naive,MKL,0.96
c-54,391693,1.14,1.0,1.01,0.97,MKL,MKL,1.0
c-57,405197,9.93,0.99,1.06,1.0,MKL,MKL,0.99
c-63,434704,0.75,1.0,1.0,0.97,MKL,MKL,1.0
c-59,480536,1.29,1.0,1.01,0.99,MKL,MKL,1.0
psmigr_2,540022,0.46,0.99,1.01,1.0,MKL,MKL,0.99
psmigr_1,543162,0.45,0.98,1.0,1.01,MKL,MKL,0.98
psmigr_3,543162,0.45,1.0,1.01,1.02,MKL,MKL,1.0
c-58,552557,2.43,1.0,1.02,1.02,MKL,MKL,1.0
c-62ghs,559343,1.81,1.0,1.01,1.01,MKL,MKL,1.0
lp_osa_30,604488,12.0,1.0,1.09,1.0,MKL,MKL,1.0
heart2,682797,33.25,1.04,1.3,1.07,MKL,MKL,1.04
heart3,682797,34.51,1.04,1.32,1.06,MKL,MKL,1.04
nemeth01,725054,0.36,1.0,1.0,0.99,MKL,MKL,1.0
nemeth19,818302,0.34,0.99,1.0,0.99,MKL,MKL,0.99
nemeth20,971870,0.3,1.0,1.0,0.99,MKL,MKL,1.0
olafu,1015156,0.25,1.0,1.0,0.99,MKL,MKL,1.0
nemeth21,1173746,0.61,1.0,1.0,1.01,MKL,MKL,1.0
msc10848,1229778,1.63,1.0,1.01,1.04,MKL,MKL,1.0
std1_Jac2,1248731,14.67,1.0,1.08,1.02,MKL,naive,1.01
nemeth22,1358832,0.35,1.0,1.01,0.99,MKL,MKL,1.0
heart1,1387773,16.67,1.05,1.12,1.03,MKL,MKL,1.05
std1_Jac3,1455848,11.71,1.03,1.08,1.0,naive,naive,1.0
nemeth24,1506550,0.32,0.99,1.0,0.99,MKL,MKL,0.99
nemeth23,1506810,0.32,1.0,1.0,0.96,MKL,MKL,1.0
nemeth25,1511758,0.32,0.99,1.0,0.96,MKL,MKL,0.99
nemeth26,1511760,0.32,0.99,1.0,0.95,MKL,MKL,0.99
Zd_Jac2,1642833,12.47,1.04,1.08,1.08,MKL,MKL,1.04
Zd_Jac6,1711983,12.71,1.06,1.08,1.07,MKL,MKL,1.06
bbmat,1771722,4.32,1.0,1.01,0.95,MKL,MKL,1.0
Zd_Jac3,1916152,11.35,1.05,1.07,1.06,MKL,MKL,1.05
exdata_1,2269501,99.27,1.96,3.82,2.03,MKL,spv8,1.99
nd3k,3279690,2.45,1.0,1.01,1.01,MKL,MKL,1.0
thread,4470048,1.08,0.97,1.0,0.99,naive,naive,1.0
nd6k,6897316,1.18,1.0,1.0,1.01,MKL,naive,1.0
nd12k,14220946,0.9,1.0,1.0,1.01,MKL,MKL,1.0
