dim1,dim2,perc_zeros,nnz,CSR_time,sable_time
1,1,0,1,164.0,21.0
1,1,20,0,166.0,20.0
1,1,40,0,165.0,22.0
1,1,50,0,167.0,19.0
1,1,75,0,164.0,20.0
1,1,80,0,166.0,21.0
1,1,85,0,165.5,17.0
1,1,90,0,163.0,19.0
1,1,95,0,166.0,17.0
1,1,99,0,168.0,17.0
1,2,0,2,166.0,21.0
1,2,20,1,169.0,18.0
1,2,40,1,163.0,20.0
1,2,50,1,161.0,23.5
1,2,75,0,172.0,23.0
1,2,80,0,163.0,20.0
1,2,85,0,163.0,19.0
1,2,90,0,163.0,19.0
1,2,95,0,166.0,19.0
1,2,99,0,163.5,19.0
1,4,0,4,174.0,22.0
1,4,20,3,171.0,23.5
1,4,40,2,168.5,21.0
1,4,50,2,166.0,20.0
1,4,75,1,167.0,24.0
1,4,80,0,166.0,24.0
1,4,85,0,165.0,25.0
1,4,90,0,168.0,24.0
1,4,95,0,168.0,21.0
1,4,99,0,163.0,21.0
1,5,0,5,182.0,25.0
1,5,20,4,183.0,25.0
1,5,40,3,166.0,26.0
1,5,50,2,166.0,28.0
1,5,75,1,170.0,24.5
1,5,80,1,162.0,25.0
1,5,85,0,165.0,24.0
1,5,90,0,167.0,25.0
1,5,95,0,165.0,25.0
1,5,99,0,161.0,26.0
1,8,0,8,181.0,26.0
1,8,20,6,185.0,29.0
1,8,40,4,180.0,27.0
1,8,50,4,165.0,28.0
1,8,75,2,167.0,26.0
1,8,80,1,168.0,24.0
1,8,85,1,169.0,27.0
1,8,90,0,164.0,29.0
1,8,95,0,165.0,29.0
1,8,99,0,167.0,26.5
1,10,0,10,186.0,26.0
1,10,20,8,183.0,29.0
1,10,40,6,180.0,26.0
1,10,50,5,181.0,26.0
1,10,75,2,170.0,25.0
1,10,80,2,167.5,26.0
1,10,85,1,168.0,25.0
1,10,90,1,166.0,26.0
1,10,95,0,161.0,24.0
1,10,99,0,167.0,24.0
1,16,0,16,180.0,31.5
1,16,20,12,183.0,29.0
1,16,40,9,181.0,28.5
1,16,50,8,180.0,30.0
1,16,75,4,183.0,30.0
1,16,80,3,169.0,34.0
1,16,85,2,169.0,29.0
1,16,90,1,171.0,29.5
1,16,95,0,167.0,30.0
1,16,99,0,165.0,29.0
1,20,0,20,186.0,86.0
1,20,20,16,180.0,36.0
1,20,40,12,182.0,112.0
1,20,50,10,181.0,33.5
1,20,75,5,181.0,34.0
1,20,80,4,182.0,33.0
1,20,85,3,168.5,33.0
1,20,90,2,164.0,120.0
1,20,95,1,167.0,41.0
1,20,99,0,164.0,36.0
1,25,0,25,186.5,40.0
1,25,20,20,179.0,40.0
1,25,40,15,178.0,38.0
1,25,50,12,178.0,39.0
1,25,75,6,182.0,37.0
1,25,80,5,176.0,40.0
1,25,85,3,185.0,41.0
1,25,90,2,171.0,40.0
1,25,95,1,167.0,42.5
1,25,99,0,165.0,38.0
1,40,0,40,185.0,50.0
1,40,20,32,184.0,43.0
1,40,40,24,184.5,43.0
1,40,50,20,179.0,44.0
1,40,75,10,182.0,42.0
1,40,80,8,180.0,43.0
1,40,85,6,179.0,45.0
1,40,90,4,170.0,48.0
1,40,95,2,165.0,43.0
1,40,99,0,167.0,44.0
1,50,0,50,190.0,47.5
1,50,20,40,189.0,50.0
1,50,40,30,185.0,48.0
1,50,50,25,179.0,48.0
1,50,75,12,182.0,47.5
1,50,80,10,181.0,48.0
1,50,85,7,182.0,50.5
1,50,90,5,182.0,49.0
1,50,95,2,167.0,47.0
1,50,99,0,165.0,47.0
1,80,0,80,198.0,56.0
1,80,20,64,194.0,56.0
1,80,40,48,182.0,56.0
1,80,50,40,184.0,56.0
1,80,75,20,183.0,70.0
1,80,80,16,184.0,58.0
1,80,85,12,185.0,57.0
1,80,90,8,179.0,54.0
1,80,95,4,171.0,57.0
1,80,99,0,161.0,65.0
1,100,0,100,195.0,114.0
1,100,20,80,194.0,69.0
1,100,40,60,188.0,68.0
1,100,50,50,181.0,69.0
1,100,75,25,188.0,68.0
1,100,80,20,185.0,126.0
1,100,85,15,184.0,67.0
1,100,90,10,179.0,115.0
1,100,95,5,183.0,66.0
1,100,99,1,167.0,66.5
1,125,0,125,199.0,79.0
1,125,20,100,201.0,99.0
1,125,40,75,188.5,94.0
1,125,50,62,193.0,80.0
1,125,75,31,187.5,216.0
1,125,80,25,186.5,98.0
1,125,85,18,183.0,79.0
1,125,90,12,183.0,98.5
1,125,95,6,180.0,96.0
1,125,99,1,168.5,99.0
1,200,0,200,217.0,152.0
1,200,20,160,205.0,110.0
1,200,40,120,202.0,111.0
1,200,50,100,195.5,142.5
1,200,75,50,190.0,138.5
1,200,80,40,186.0,149.0
1,200,85,30,184.0,151.0
1,200,90,20,182.0,142.5
1,200,95,10,180.0,141.0
1,200,99,2,165.0,173.5
1,250,0,250,228.0,232.0
1,250,20,200,212.0,245.5
1,250,40,150,206.0,132.0
1,250,50,125,200.0,133.0
1,250,75,62,193.0,207.0
1,250,80,50,190.0,132.0
1,250,85,37,184.0,186.0
1,250,90,25,187.0,230.0
1,250,95,12,181.0,178.5
1,250,99,2,170.5,429.5
1,400,0,400,249.0,254.0
1,400,20,320,233.0,260.0
1,400,40,240,223.0,271.0
1,400,50,200,213.0,263.0
1,400,75,100,199.0,251.5
1,400,80,80,197.0,372.0
1,400,85,60,185.0,252.0
1,400,90,40,187.0,272.0
1,400,95,20,178.0,261.0
1,400,99,4,183.0,260.0
1,500,0,500,262.0,297.5
1,500,20,400,252.0,314.0
1,500,40,300,231.0,322.0
1,500,50,250,221.0,317.0
1,500,75,125,197.0,358.0
1,500,80,100,198.0,332.5
1,500,85,75,192.0,367.0
1,500,90,50,187.0,326.5
1,500,95,25,185.0,409.0
1,500,99,5,179.0,314.5
1,625,0,625,290.0,386.0
1,625,20,500,267.0,281.0
1,625,40,375,243.0,369.0
1,625,50,312,235.0,402.0
1,625,75,156,204.0,444.0
1,625,80,125,205.0,457.0
1,625,85,93,196.0,271.0
1,625,90,62,194.0,365.0
1,625,95,31,187.0,422.0
1,625,99,6,184.0,453.5
1,1000,0,1000,358.0,528.0
1,1000,20,800,312.0,560.0
1,1000,40,600,284.0,451.0
1,1000,50,500,266.0,576.0
1,1000,75,250,222.0,604.0
1,1000,80,200,216.0,529.0
1,1000,85,150,206.0,552.0
1,1000,90,100,200.0,549.0
1,1000,95,50,191.0,569.5
1,1000,99,10,183.0,439.0
1,1250,0,1250,405.0,678.0
1,1250,20,1000,359.0,749.5
1,1250,40,750,310.0,627.0
1,1250,50,625,292.0,717.0
1,1250,75,312,229.0,728.0
1,1250,80,250,219.0,687.0
1,1250,85,187,214.0,691.0
1,1250,90,125,202.0,524.0
1,1250,95,62,191.0,682.0
1,1250,99,12,185.0,661.5
1,2000,0,2000,659.0,985.5
1,2000,20,1600,541.0,991.0
1,2000,40,1200,411.0,984.0
1,2000,50,1000,347.5,991.0
1,2000,75,500,270.0,947.0
1,2000,80,400,251.0,991.0
1,2000,85,300,231.0,1017.0
1,2000,90,200,213.0,918.5
1,2000,95,100,196.0,944.0
1,2000,99,20,185.0,1031.0
1,2500,0,2500,889.0,1180.0
1,2500,20,2000,661.0,1145.0
1,2500,40,1500,514.0,1229.5
1,2500,50,1250,427.0,1199.0
