Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=50, percentage_of_blocks=20, percentage_of_zeros=50)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=50, percentage_of_blocks=20, percentage_of_zeros=40)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=50, percentage_of_blocks=20, percentage_of_zeros=30)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=50, percentage_of_blocks=20, percentage_of_zeros=20)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=50, percentage_of_blocks=20, percentage_of_zeros=10)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=50, percentage_of_blocks=20, percentage_of_zeros=0)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=50, percentage_of_blocks=15, percentage_of_zeros=50)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=50, percentage_of_blocks=15, percentage_of_zeros=40)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=50, percentage_of_blocks=15, percentage_of_zeros=30)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=50, percentage_of_blocks=15, percentage_of_zeros=20)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=50, percentage_of_blocks=15, percentage_of_zeros=10)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=50, percentage_of_blocks=15, percentage_of_zeros=0)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=50, percentage_of_blocks=10, percentage_of_zeros=50)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=50, percentage_of_blocks=10, percentage_of_zeros=40)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=50, percentage_of_blocks=10, percentage_of_zeros=30)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=50, percentage_of_blocks=10, percentage_of_zeros=20)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=50, percentage_of_blocks=10, percentage_of_zeros=10)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=50, percentage_of_blocks=10, percentage_of_zeros=0)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=50, percentage_of_blocks=5, percentage_of_zeros=50)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=50, percentage_of_blocks=5, percentage_of_zeros=40)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=50, percentage_of_blocks=5, percentage_of_zeros=30)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=50, percentage_of_blocks=5, percentage_of_zeros=20)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=50, percentage_of_blocks=5, percentage_of_zeros=10)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=50, percentage_of_blocks=5, percentage_of_zeros=0)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=50, percentage_of_blocks=1, percentage_of_zeros=50)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=50, percentage_of_blocks=1, percentage_of_zeros=40)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=50, percentage_of_blocks=1, percentage_of_zeros=30)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=50, percentage_of_blocks=1, percentage_of_zeros=20)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=50, percentage_of_blocks=1, percentage_of_zeros=10)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=50, percentage_of_blocks=1, percentage_of_zeros=0)
0
YAY!
Done with 1000 1000 uniform 50 50
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=100, percentage_of_blocks=20, percentage_of_zeros=50)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=100, percentage_of_blocks=20, percentage_of_zeros=40)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=100, percentage_of_blocks=20, percentage_of_zeros=30)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=100, percentage_of_blocks=20, percentage_of_zeros=20)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=100, percentage_of_blocks=20, percentage_of_zeros=10)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=100, percentage_of_blocks=20, percentage_of_zeros=0)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=100, percentage_of_blocks=15, percentage_of_zeros=50)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=100, percentage_of_blocks=15, percentage_of_zeros=40)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=100, percentage_of_blocks=15, percentage_of_zeros=30)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=100, percentage_of_blocks=15, percentage_of_zeros=20)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=100, percentage_of_blocks=15, percentage_of_zeros=10)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=100, percentage_of_blocks=15, percentage_of_zeros=0)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=100, percentage_of_blocks=10, percentage_of_zeros=50)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=100, percentage_of_blocks=10, percentage_of_zeros=40)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=100, percentage_of_blocks=10, percentage_of_zeros=30)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=100, percentage_of_blocks=10, percentage_of_zeros=20)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=100, percentage_of_blocks=10, percentage_of_zeros=10)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=100, percentage_of_blocks=10, percentage_of_zeros=0)
Namespace(num_rows=1000, num_cols=1000, partition_type=<PartitionType.uniform: 'uniform'>, row_split=50, col_split=100, percentage_of_blocks=5, percentage_of_zeros=50)
